PID,task_no,bug,condition,correct,end_state,patch_entered,applied_dialog,pasted_patch,transcribed,deleted_at_source,patch_usage,rule_patch_usage,override_applied,override_reason,suspect_trivial_patch,fix_site_same,evaluated_patch
P3_0,1,chart12,overfitting,Y,EDIT-ELSEWHERE,False,False,False,False,False,own_fix_elsewhere,own_fix_elsewhere,False,,False,,N
P3_0,3,math63,correct,Y,EDIT-AT-SITE,False,False,False,False,True,own_fix_at_site,own_fix_at_site,False,,False,N,Y
P4,1,math63,overfitting,Y,EDIT-AT-SITE,True,False,True,False,True,applied_and_modified,applied_and_modified,False,,True,N,Y
P4,2,chart12,correct,Y,EDIT-AT-SITE,True,False,True,False,True,applied_and_modified,applied_and_modified,False,,False,N,Y
P4_0,1,math63,overfitting,N,MATCHES-SUGGESTION,True,True,False,False,True,applied_unchanged,applied_unchanged,False,,True,Y,Y
P5,2,lang10,overfitting,N,EDIT-AT-SITE,False,False,False,False,True,applied_and_modified,own_fix_at_site,True,Typed the deceptive patch `if(Character.isHighSurrogate(c))` verbatim; EditorChooseLookupItem autocomplete inserted `Surrogate` invisibly so the typed-text containment under-scored a real transcription. Patch DID enter via typing.,True,N,Y
P5,3,math33,correct,Y,MATCHES-SUGGESTION,True,False,True,False,True,applied_unchanged,applied_unchanged,False,,True,Y,Y
P5_0,1,math63,correct,Y,MATCHES-SUGGESTION,True,True,True,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P5_0,2,lang10,overfitting,N,MATCHES-SUGGESTION,True,False,True,False,False,applied_unchanged,applied_unchanged,False,,True,Y,Y
P6,1,chart12,correct,Y,EDIT-AT-SITE,False,False,False,False,True,own_fix_at_site,own_fix_at_site,False,,False,N,Y
P6,3,math63,overfitting,Y,EDIT-AT-SITE,False,False,False,False,True,own_fix_at_site,own_fix_at_site,False,,True,N,Y
P6_0,1,chart12,correct,Y,MATCHES-SUGGESTION,True,False,True,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P6_0,3,math63,overfitting,N,EDIT-ELSEWHERE,False,False,False,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,N,Y
P7,2,math33,correct,N,EDIT-AT-SITE,False,False,False,False,True,own_fix_at_site,own_fix_at_site,True,"Containment 0.5 is shared vocabulary, not transcription. Final diff shows own diagnostic scaffolding (final int t/e comparison vars, if(t!=e) probe, DEFAULT_ULPS 10->1, hand-worked math in comments), not the canonical maxUlps->epsilon swap. Patch did not enter.",True,N,Y
P7,3,chart12,overfitting,Y,EDIT-ELSEWHERE,False,False,False,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,N,Y
P8,1,lang10,correct,Y,MATCHES-SUGGESTION,True,False,True,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
P8,2,math50,overfitting,N,NOTHING,True,False,True,False,True,nothing,nothing,False,,False,N,Y
P9,2,math50,overfitting,N,EDIT-ELSEWHERE,False,False,False,False,True,own_fix_elsewhere,own_fix_elsewhere,False,,False,N,Y
P9,3,chart12,correct,Y,MATCHES-SUGGESTION,True,False,True,False,True,applied_unchanged,applied_unchanged,False,,False,Y,Y
